suburb_number_alphabetical,suburb,postcode,sales_price_growth_pct_yoy,median_house_price_aud,rental_price_growth_pct_yoy,median_house_rent_per_week_aud,source_url,data_status,notes,source_methodology_note
215,Midland,6056,21.6,681000,10.2,650,https://reiwa.com.au/suburb/midland/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
216,Midvale,6056,21.5,735000,22.5,750,https://reiwa.com.au/suburb/midvale/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
217,Millendon,6056,,,,,https://reiwa.com.au/suburb/millendon/,verified_REIWA_NA,REIWA quick stats showed insufficient/NA house data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
218,Mindarie,6030,15.4,1350000,28.3,1112,https://reiwa.com.au/suburb/mindarie/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
219,Mirrabooka,6061,18.1,793000,14.4,700,https://reiwa.com.au/suburb/mirrabooka/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
220,Morley,6062,15.0,920000,4.2,750,https://reiwa.com.au/suburb/morley/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
221,Mosman Park,6012,32.9,2950000,19.0,1050,https://reiwa.com.au/suburb/mosman-park/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
222,Mount Claremont,6010,7.0,2300000,20.8,1450,https://reiwa.com.au/suburb/mount-claremont/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
223,Mount Hawthorn,6016,13.8,1770000,50.0,1200,https://reiwa.com.au/suburb/mount-hawthorn/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
224,Mount Helena,6082,10.8,920000,1.4,710,https://reiwa.com.au/suburb/mount-helena/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
225,Mount Lawley,6050,17.6,1810000,2.9,875,https://reiwa.com.au/suburb/mount-lawley/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
226,Mount Nasura,6112,33.1,865000,-0.8,620,https://reiwa.com.au/suburb/mount-nasura/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
227,Mount Pleasant,6153,22.5,2220000,-4.6,880,https://reiwa.com.au/suburb/mount-pleasant/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
228,Mount Richon,6112,19.0,875000,-16.1,600,https://reiwa.com.au/suburb/mount-richon/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
229,Mullaloo,6027,7.3,1360000,14.4,900,https://reiwa.com.au/suburb/mullaloo/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
230,Mundaring,6073,9.4,989000,,,https://reiwa.com.au/suburb/mundaring/,verified_REIWA_quick_stats,REIWA quick stats showed insufficient/NA house rental data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
231,Mundijong,6123,17.0,818000,5.9,720,https://reiwa.com.au/suburb/mundijong/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
232,Munster,6166,,,,,https://reiwa.com.au/suburb/munster/,verified_REIWA_NA,REIWA quick stats showed insufficient/NA house data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
233,Murdoch,6150,11.7,1340000,1.4,862,https://reiwa.com.au/suburb/murdoch/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
234,Myaree,6154,14.0,1370000,-29.6,950,https://reiwa.com.au/suburb/myaree/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
235,Naval Base,6165,,,,,https://reiwa.com.au/suburb/naval-base/,verified_REIWA_NA,REIWA quick stats showed insufficient/NA house data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
236,Nedlands,6009,15.0,2750000,17.1,1300,https://reiwa.com.au/suburb/nedlands/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
237,Neerabup,6031,,,,,https://reiwa.com.au/suburb/neerabup/,verified_REIWA_NA,REIWA quick stats showed insufficient/NA house data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
238,Nollamara,6061,21.2,800000,9.6,745,https://reiwa.com.au/suburb/nollamara/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
239,Noranda,6062,19.5,1110000,-2.1,710,https://reiwa.com.au/suburb/noranda/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
240,North Beach,6020,32.8,2130000,-5.6,850,https://reiwa.com.au/suburb/north-beach/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
241,North Coogee,6163,6.2,1880000,19.0,1250,https://reiwa.com.au/suburb/north-coogee/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
242,North Fremantle,6159,19.7,1980000,14.6,1100,https://reiwa.com.au/suburb/north-fremantle/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
243,North Lake,6163,13.5,1180000,19.3,960,https://reiwa.com.au/suburb/north-lake/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
244,North Perth,6006,18.9,1670000,20.3,950,https://reiwa.com.au/suburb/north-perth/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
245,Northbridge,6003,48.5,1250000,9.0,730,https://reiwa.com.au/suburb/northbridge/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
246,Nowergup,6032,,,,,https://reiwa.com.au/suburb/nowergup/,verified_REIWA_NA,REIWA quick stats showed insufficient/NA house data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
247,Oakford,6121,53.8,1900000,,550,https://reiwa.com.au/suburb/oakford/,verified_REIWA_quick_stats,REIWA quick stats; rental growth was N/A but median rental price was displayed.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
248,Ocean Reef,6027,11.1,1450000,10.5,1050,https://reiwa.com.au/suburb/ocean-reef/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
249,O'Connor,6163,,,,,https://reiwa.com.au/suburb/oconnor/,page_error_or_not_available,REIWA page did not return usable quick stats in this run; left as N/A rather than estimating.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
250,Oldbury,6121,,,,,https://reiwa.com.au/suburb/oldbury/,verified_REIWA_NA,REIWA quick stats showed insufficient/NA house data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
251,Orange Grove,6109,-20.8,1030000,,,https://reiwa.com.au/suburb/orange-grove/,verified_REIWA_quick_stats,REIWA quick stats showed insufficient/NA house rental data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
252,Orelia,6167,15.5,690000,7.3,590,https://reiwa.com.au/suburb/orelia/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
253,Osborne Park,6017,26.1,965000,31.3,840,https://reiwa.com.au/suburb/osborne-park/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
254,Padbury,6025,13.7,1130000,8.7,750,https://reiwa.com.au/suburb/padbury/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
255,Palmyra,6157,22.3,1280000,13.3,850,https://reiwa.com.au/suburb/palmyra/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
256,Parkerville,6081,14.6,1100000,,,https://reiwa.com.au/suburb/parkerville/,verified_REIWA_quick_stats,REIWA quick stats showed insufficient/NA house rental data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
257,Parkwood,6147,12.8,915000,22.1,800,https://reiwa.com.au/suburb/parkwood/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
258,Parmelia,6167,15.5,692000,2.1,592,https://reiwa.com.au/suburb/parmelia/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
259,Paulls Valley,6076,,,,,https://reiwa.com.au/suburb/paulls-valley/,verified_REIWA_NA,REIWA quick stats showed insufficient/NA house data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
260,Pearsall,6065,12.9,852000,14.6,825,https://reiwa.com.au/suburb/pearsall/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
261,Peppermint Grove,6011,61.1,6300000,0.0,1650,https://reiwa.com.au/suburb/peppermint-grove/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
262,Peron,,,,,,https://reiwa.com.au/suburb/peron/,page_error_or_not_available,REIWA page did not return usable quick stats in this run; left as N/A rather than estimating.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
263,Perth,6000,9.2,1370000,12.4,800,https://reiwa.com.au/suburb/perth/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
264,Perth Airport,6105,,,,,https://reiwa.com.au/suburb/perth-airport/,verified_REIWA_NA,REIWA quick stats showed insufficient/NA house data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
265,Piara Waters,6112,18.5,983000,10.7,830,https://reiwa.com.au/suburb/piara-waters/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
266,Pickering Brook,6076,-3.4,860000,,,https://reiwa.com.au/suburb/pickering-brook/,verified_REIWA_quick_stats,REIWA quick stats showed insufficient/NA house rental data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
267,Piesse Brook,6076,,,,,https://reiwa.com.au/suburb/piesse-brook/,verified_REIWA_NA,REIWA quick stats showed insufficient/NA house data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
268,Pinjar,6078,,,,,https://reiwa.com.au/suburb/pinjar/,verified_REIWA_NA,REIWA quick stats showed insufficient/NA house data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
269,Port Kennedy,6172,15.7,810000,0.0,650,https://reiwa.com.au/suburb/port-kennedy/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
270,Postans,6167,,,,,https://reiwa.com.au/suburb/postans/,verified_REIWA_NA,REIWA quick stats showed insufficient/NA house data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
271,Queens Park,6107,17.0,833000,11.4,780,https://reiwa.com.au/suburb/queens-park/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
272,Quinns Rocks,6030,12.4,984000,15.4,750,https://reiwa.com.au/suburb/quinns-rocks/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
273,Red Hill,6056,,,,,https://reiwa.com.au/suburb/red-hill/,verified_REIWA_NA,REIWA quick stats showed insufficient/NA house data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
274,Redcliffe,6104,15.4,860000,4.3,730,https://reiwa.com.au/suburb/redcliffe/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
275,Reservoir,,,,,,https://reiwa.com.au/suburb/reservoir/,page_error_or_not_available,REIWA page did not return usable quick stats in this run; left as N/A rather than estimating.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
276,Ridgewood,6030,14.3,800000,5.4,680,https://reiwa.com.au/suburb/ridgewood/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
277,Riverton,6148,0.9,1210000,-5.0,760,https://reiwa.com.au/suburb/riverton/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
278,Rivervale,6103,14.3,960000,5.3,750,https://reiwa.com.au/suburb/rivervale/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
