rank_alphabetical,suburb,postcode,median_house_price_aud,median_house_rent_per_week_aud,house_gross_yield_pct,house_price_growth_12m_pct,house_price_growth_3m_pct,house_price_growth_6m_pct,data_period,source_url,data_status,notes
222,Moorabbin,3189,1303750,815,3.5,3.8,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/moorabbin-3189/,ok,3-month and 6-month house growth not shown by source.
223,Moorabbin Airport,3194,,,,,,,,https://www.realestate.com.au/vic/moorabbin-airport-3194/,source_no_usable_house_summary,Source did not show usable house median/rent/growth values.
224,Mooroolbark,3138,862000,630,3.9,5.5,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mooroolbark-3138/,ok,3-month and 6-month house growth not shown by source.
225,Mordialloc,3195,1366000,800,3.2,6.3,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mordialloc-3195/,ok,3-month and 6-month house growth not shown by source.
226,Mornington,3931,1155000,730,3.4,6.5,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mornington-3931/,ok,3-month and 6-month house growth not shown by source.
227,Mount Eliza,3930,1700000,1000,3.2,5.4,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mount-eliza-3930/,ok,3-month and 6-month house growth not shown by source.
228,Mount Evelyn,3796,906000,620,3.7,8.2,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mount-evelyn-3796/,ok,3-month and 6-month house growth not shown by source.
229,Mount Martha,3934,1450000,845,3.4,4.7,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mount-martha-3934/,ok,3-month and 6-month house growth not shown by source.
230,Mount Waverley,3149,1650000,750,2.5,1.5,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mount-waverley-3149/,ok,3-month and 6-month house growth not shown by source.
231,Mulgrave,3170,1140000,670,3.3,5.6,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mulgrave-3170/,ok,3-month and 6-month house growth not shown by source.
232,Murrumbeena,3163,1656944,830,2.9,2.3,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/murrumbeena-3163/,ok,3-month and 6-month house growth not shown by source.
233,Narre Warren,3805,815000,580,3.8,8.7,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/narre-warren-3805/,ok,3-month and 6-month house growth not shown by source.
234,Narre Warren North,3804,1625000,765,2.8,-6.2,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/narre-warren-north-3804/,ok,3-month and 6-month house growth not shown by source.
235,Narre Warren South,3805,865000,620,3.8,7.1,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/narre-warren-south-3805/,ok,3-month and 6-month house growth not shown by source.
236,Newport,3015,1250000,720,3.3,0.0,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/newport-3015/,ok,3-month and 6-month house growth not shown by source.
237,Niddrie,3042,1250000,700,3.0,-0.8,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/niddrie-3042/,ok,3-month and 6-month house growth not shown by source.
238,Noble Park,3174,837000,575,3.8,8.7,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/noble-park-3174/,ok,3-month and 6-month house growth not shown by source.
239,Noble Park North,3174,822500,570,4.0,5.5,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/noble-park-north-3174/,ok,3-month and 6-month house growth not shown by source.
240,North Melbourne,3051,1240000,780,3.5,-4.6,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/north-melbourne-3051/,ok,3-month and 6-month house growth not shown by source.
241,North Warrandyte,3113,1400000,845,3.2,-4.4,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/north-warrandyte-3113/,ok,3-month and 6-month house growth not shown by source.
242,Northcote,3070,1742500,850,2.9,8.6,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/northcote-3070/,ok,3-month and 6-month house growth not shown by source.
243,Notting Hill,3168,1171000,693,2.5,2.9,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/notting-hill-3168/,ok,3-month and 6-month house growth not shown by source.
244,Nunawading,3131,1185000,655,3.2,0.9,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/nunawading-3131/,ok,3-month and 6-month house growth not shown by source.
245,Oak Park,3046,1150100,650,3.5,6.2,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/oak-park-3046/,ok,3-month and 6-month house growth not shown by source.
246,Oakleigh,3166,1410000,683,2.8,10.6,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/oakleigh-3166/,ok,3-month and 6-month house growth not shown by source.
247,Oakleigh East,3166,1196000,650,2.8,1.8,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/oakleigh-east-3166/,ok,3-month and 6-month house growth not shown by source.
248,Oakleigh South,3167,1255000,745,3.3,7.3,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/oakleigh-south-3167/,ok,3-month and 6-month house growth not shown by source.
249,Officer,3809,755000,590,4.2,5.2,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/officer-3809/,ok,3-month and 6-month house growth not shown by source.
250,Pakenham,3810,712000,550,4.1,9.1,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/pakenham-3810/,ok,3-month and 6-month house growth not shown by source.
251,Park Orchards,3114,1915000,1275,3.3,-8.6,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/park-orchards-3114/,ok,3-month and 6-month house growth not shown by source.
252,Parkdale,3195,1628500,800,3.1,11.5,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/parkdale-3195/,ok,3-month and 6-month house growth not shown by source.
253,Parkville,3052,1796944,1100,2.9,4.0,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/parkville-3052/,ok,3-month and 6-month house growth not shown by source.
254,Pascoe Vale,3044,1151000,640,3.2,9.6,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/pascoe-vale-3044/,ok,3-month and 6-month house growth not shown by source.
255,Pascoe Vale South,3044,1300000,700,3.0,9.1,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/pascoe-vale-south-3044/,ok,3-month and 6-month house growth not shown by source.
256,Patterson Lakes,3197,1335000,863,3.6,11.3,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/patterson-lakes-3197/,ok,3-month and 6-month house growth not shown by source.
257,Plumpton,3335,,,,,,,,https://www.realestate.com.au/vic/plumpton-3335/,source_no_usable_house_summary,Source showed listings count only and no usable house median/rent/growth values.
258,Point Cook,3030,820000,570,3.6,8.1,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/point-cook-3030/,ok,3-month and 6-month house growth not shown by source.
259,Port Melbourne,3207,1550000,970,3.2,-0.1,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/port-melbourne-3207/,ok,3-month and 6-month house growth not shown by source.
260,Portsea,3944,2825000,850,2.4,-24.7,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/portsea-3944/,ok,3-month and 6-month house growth not shown by source.
261,Prahran,3181,1600000,900,3.1,0.3,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/prahran-3181/,ok,3-month and 6-month house growth not shown by source.
262,Princes Hill,3054,1895000,988,2.9,11.1,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/princes-hill-3054/,ok,3-month and 6-month house growth not shown by source.
263,Research,3095,1716250,750,3.3,13.3,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/research-3095/,ok,3-month and 6-month house growth not shown by source.
264,Reservoir,3073,950000,580,3.3,5.6,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/reservoir-3073/,ok,3-month and 6-month house growth not shown by source.
265,Richmond,3121,1365000,875,3.4,-0.9,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/richmond-3121/,ok,3-month and 6-month house growth not shown by source.
266,Ringwood,3134,1041000,650,3.4,3.3,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/ringwood-3134/,ok,3-month and 6-month house growth not shown by source.
267,Ringwood East,3135,1020000,630,3.5,1.7,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/ringwood-east-3135/,ok,3-month and 6-month house growth not shown by source.
268,Ringwood North,3134,1275000,695,3.1,6.7,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/ringwood-north-3134/,ok,3-month and 6-month house growth not shown by source.
269,Ripponlea,3185,1735000,840,2.7,-13.0,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/ripponlea-3185/,ok,3-month and 6-month house growth not shown by source.
270,Rockbank,3335,632500,480,4.1,1.6,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/rockbank-3335/,ok,3-month and 6-month house growth not shown by source.
271,Rosanna,3084,1419000,708,2.8,3.4,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/rosanna-3084/,ok,3-month and 6-month house growth not shown by source.
272,Rosebud,3939,800000,575,3.9,3.9,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/rosebud-3939/,ok,3-month and 6-month house growth not shown by source.
273,Rowville,3178,1160000,695,3.5,10.5,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/rowville-3178/,ok,3-month and 6-month house growth not shown by source.
274,Roxburgh Park,3064,720000,560,4.1,9.3,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/roxburgh-park-3064/,ok,3-month and 6-month house growth not shown by source.
275,Rye,3941,950000,600,3.7,-0.5,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/rye-3941/,ok,3-month and 6-month house growth not shown by source.
276,Safety Beach,3936,1153000,750,3.4,0.3,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/safety-beach-3936/,ok,3-month and 6-month house growth not shown by source.
277,Sandhurst,3977,1100000,750,3.8,8.4,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/sandhurst-3977/,ok,3-month and 6-month house growth not shown by source.
278,Sandringham,3191,2010000,1198,2.8,-2.0,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/sandringham-3191/,ok,3-month and 6-month house growth not shown by source.
279,Sassafras,3787,975000,770,3.5,4.8,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/sassafras-3787/,ok,3-month and 6-month house growth not shown by source.
280,Scoresby,3179,1008800,630,3.4,3.5,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/scoresby-3179/,ok,3-month and 6-month house growth not shown by source.
281,Seabrook,3028,781500,530,3.9,3.9,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/seabrook-3028/,ok,3-month and 6-month house growth not shown by source.
282,Seaford,3198,910000,620,3.7,9.6,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/seaford-3198/,ok,3-month and 6-month house growth not shown by source.
283,Seaholme,3018,1350000,685,3.0,9.3,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/seaholme-3018/,ok,3-month and 6-month house growth not shown by source.
284,Seddon,3011,1100000,700,3.3,0.0,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/seddon-3011/,ok,3-month and 6-month house growth not shown by source.
285,Selby,3159,892670,725,3.9,5.0,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/selby-3159/,ok,3-month and 6-month house growth not shown by source.
286,Skye,3977,860000,650,4.0,8.9,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/skye-3977/,ok,3-month and 6-month house growth not shown by source.
287,Somerton,3062,,,,,,,,https://www.realestate.com.au/vic/somerton-3062/,source_no_usable_house_summary,Source did not show usable house median/rent/growth values.
288,Sorrento,3943,1838500,795,2.6,2.1,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/sorrento-3943/,ok,3-month and 6-month house growth not shown by source.
289,South Kingsville,3015,1050000,700,3.5,-0.7,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/south-kingsville-3015/,ok,3-month and 6-month house growth not shown by source.
290,South Melbourne,3205,1700000,840,3.2,11.8,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/south-melbourne-3205/,ok,3-month and 6-month house growth not shown by source.
291,South Morang,3752,792000,550,3.8,9.7,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/south-morang-3752/,ok,3-month and 6-month house growth not shown by source.
292,South Wharf,3006,,,,,,,,https://www.realestate.com.au/vic/south-wharf-3006/,source_no_usable_house_summary,Source showed unit summary only and no usable house median/rent/growth values.
293,South Yarra,3141,2050000,928,2.8,2.5,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/south-yarra-3141/,ok,3-month and 6-month house growth not shown by source.
294,Southbank,3006,476000,698,3.7,-62.2,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/southbank-3006/,ok,Very low house sample / apartment-dominant suburb; use carefully.
295,Spotswood,3015,1155000,750,3.4,-4.4,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/spotswood-3015/,ok,3-month and 6-month house growth not shown by source.
296,Springvale,3171,935000,640,3.6,12.7,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/springvale-3171/,ok,3-month and 6-month house growth not shown by source.
297,Springvale South,3172,863000,640,3.8,4.9,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/springvale-south-3172/,ok,3-month and 6-month house growth not shown by source.
298,St Albans,3021,724000,500,3.6,10.5,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/st-albans-3021/,ok,3-month and 6-month house growth not shown by source.
299,St Helena,3088,1150000,750,3.5,-3.1,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/st-helena-3088/,ok,3-month and 6-month house growth not shown by source.
300,St Kilda,3182,1620000,850,2.8,-7.4,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/st-kilda-3182/,ok,3-month and 6-month house growth not shown by source.
